0,1,2,3
0.23163399,0.016044758,0.007161311,0.012608961
0.24630617,0.003200107,0.54884106,0.016905556
0.016479362,0.3587936,0.0681835,0.20005044
0.50777394,0.15969567,0.13500552,0.027218448
0.55837655,0.10785392,0.76121384,0.13704479
0.25576243,0.05463488,0.070754975,0.08816277
0.21130466,0.30126747,0.17229345,0.20594127
0.40740794,0.22511558,0.16560586,0.26544037
0.12915164,0.078327686,0.18560933,0.2744693
0.2544508,0.30077767,0.004572826,0.25147465
0.21412882,0.06853359,0.41126174,0.13290586
0.17624928,0.14845112,0.024205593,0.062905096
0.06289254,0.50059146,0.2644249,0.38088754
0.049273495,0.31791595,0.19873089,0.051895548
0.09118507,0.44390744,0.15854736,0.22056526
0.165886,0.22507969,0.1974712,2.7913758e-05
0.50206476,0.29160437,0.3966588,0.2819865
0.15620548,0.22083275,0.03086795,0.35830632
0.36975908,0.14754114,0.11250785,0.018200891
0.38180196,0.13221078,0.057229355,0.22419591
0.072693326,0.016221108,0.3999589,0.051393423
0.12149192,0.08847581,0.32715437,0.11391057
0.14424026,0.22211498,0.10928454,0.01627213
0.12673266,0.2266886,0.06295513,0.1970504
0.0014980689,0.35244486,0.518236,0.016547956
0.23535447,0.08099226,0.07304044,0.056273855
0.6435186,0.10271277,0.61186445,0.29967323
0.32190436,0.019946925,0.020062333,0.36944085
0.2202215,0.09196359,0.42974302,0.06085742
0.18376821,0.14521897,0.12728858,0.1386369
0.43321654,0.38389874,0.12662071,0.39872986
0.4260963,0.021548694,0.045117676,0.015922597
0.06186071,0.16094464,0.08909975,0.02003484
0.24160643,0.008261787,0.03654993,0.081858106
0.20534666,0.18920515,0.15537345,0.06299689
0.029116325,0.028239658,0.13712902,0.07876526
0.0039136307,0.06365103,0.07675889,0.1424273
0.28802347,0.24669138,0.21957684,0.7251108
0.35737517,0.39496085,0.3430508,0.61922514
0.027111515,0.13267908,0.21662922,0.26513678
0.20146485,0.06637701,0.70655864,0.0129418075
0.13243434,0.122505575,0.19751899,0.05800738
0.124694,0.17829452,0.07916364,0.012254129
0.3881938,0.10340331,0.14761429,0.06360623
0.04958772,0.0054056756,0.62939847,0.37463656
0.0642046,0.0892389,0.044863712,0.064416364
0.017915621,0.23041241,0.07657306,0.23406246
0.04384471,0.14885029,0.010534372,0.123066254
0.35935614,0.13810855,0.23368938,0.14418635
0.41383785,0.025888035,0.10245969,0.007814148
0.06524348,0.07434098,0.24819349,0.14899275
0.29288355,0.12655766,0.28526923,0.17255692
0.50630397,0.08665851,0.35665184,0.20576733
0.23671894,0.18919341,0.07271224,0.45115268
0.37163994,0.18648863,0.051279552,0.059642773
0.12927896,0.03126813,0.2112876,0.16025092
0.10125408,0.13617368,0.5713925,0.09751666
0.115295105,0.06847405,0.3773375,0.014788226
0.069439635,0.12765731,0.42573944,0.15972404
0.011324113,0.16385102,0.26200563,0.1497511
0.20378171,0.124577485,0.05755436,0.37943494
0.5866007,0.21881579,0.53616256,0.19250402
0.09057343,0.1322671,0.09417612,0.11774898
0.4001669,0.053871002,0.4024252,0.25497854
0.068793595,0.16051336,0.06855325,0.25149125
0.30179274,0.10573665,0.16135651,0.110778496
0.32909498,0.0147867985,0.15379654,0.08519892
0.16652076,0.24667971,0.105502605,0.23910467
0.1423335,0.002840821,0.04844676,0.11473536
0.14764848,0.058334533,0.015810193,0.24743485
0.09373459,0.07813354,0.154538,0.122565925
0.24188794,0.12620158,0.07381881,0.14466466
0.4020035,0.08323177,0.22894679,0.048094846
0.27373952,0.05227726,0.21296102,0.01941657
0.23578082,0.07739864,0.17214037,0.092163704
0.08835035,0.17370047,0.13808441,0.17461704
0.16854054,0.17614388,0.18376197,0.07482563
0.15873073,0.093238756,0.13544285,0.11267046
0.14039072,0.1264553,0.15345038,0.20575188
0.19607908,0.031735208,0.22416516,0.2517804
0.16854596,0.10391688,0.05595492,0.044071164
0.14486687,0.31221342,0.14954086,0.21990652
0.2906948,0.03528444,0.21900786,0.18619177
0.48484272,0.10707484,0.11101879,0.020656198
0.10459765,0.048330303,0.19313082,0.0205649
0.21956314,0.029632933,0.042004835,0.31106368
0.20160443,0.019076185,0.09782792,0.06278341
0.33752406,0.11710379,0.0614364,0.11293117
0.07969114,0.08505648,0.11794477,0.034588415
0.1253124,0.07135148,0.040762845,0.100181825
0.17764933,0.15564165,0.05433749,0.24736366
0.084026955,0.010057153,0.06316531,0.34646016
0.22578506,0.031005142,0.20739928,0.060272332
0.06274454,0.03651304,0.2031716,0.12195461
0.14816861,0.05049798,0.11145353,0.11308239
0.17424096,0.01940472,0.17809156,0.19938268
0.24312429,0.1338315,0.049666,0.35344094
0.4481015,0.13558736,0.36286774,0.15326107
0.217396,0.09088312,0.18200581,0.012531326
0.009741564,0.27223036,0.040825777,0.49829853
0.0569122,0.10384281,0.30225673,0.049324848
0.24018686,0.014559347,0.15026823,0.010909516
0.052946676,0.086611375,0.23782884,0.08175026
0.14677614,0.064026035,0.1687046,0.14523873
0.04253162,0.15749562,0.22028786,0.041730635
0.44152167,0.14048746,0.06596232,0.13829713
0.56860185,0.2833226,0.12088802,0.28475866
0.14203307,0.11550132,0.14380535,0.1167494
0.27081075,0.17528886,0.20319062,0.05854866
0.44620973,0.043481372,0.3157358,0.18028606
0.5409246,0.027859386,0.15029992,0.7230381
0.004290408,0.14807303,0.23459975,0.15553889
0.6709649,0.21889412,0.2602238,0.33555228
0.13431336,0.03975895,0.13065502,0.14544678
0.19151416,0.12177759,0.17652705,0.032396734
0.12067783,0.2549701,0.19766569,0.052129038
0.5322855,0.0469167,0.06511761,0.023481328
0.09492102,0.18170126,0.14347316,0.25475946
0.5508729,0.27088454,0.017867738,0.3097408
0.19610159,0.26763344,0.16485769,0.14852847
0.4110892,0.16520455,0.0068548047,0.045266576
0.3945549,0.22945522,0.13848102,0.37617567
0.08083991,0.087254785,0.172817,0.11615312
0.08731102,0.08260793,0.13354024,0.15998456
0.24385342,0.057042576,0.23287216,0.0916862
0.5192366,0.022164447,0.057213023,0.11448617
0.48532683,0.18070684,0.20850119,0.23277995
0.15314071,0.089384384,0.12567265,0.23223336
